slug,title,markdown_file,source_html,pdf_pages,image_count,notes
introduction,Introduction,markdown/introduction.md,https://build123d.readthedocs.io/en/latest/introduction.html,7-13,0,
installation,Installation,markdown/installation.md,https://build123d.readthedocs.io/en/latest/installation.html,13-14,0,
key_concepts,Key Concepts,markdown/key_concepts.md,https://build123d.readthedocs.io/en/latest/key_concepts.html,14-19,1,
key_concepts_builder,Key Concepts (builder mode),markdown/key_concepts_builder.md,https://build123d.readthedocs.io/en/latest/key_concepts_builder.html,19-26,0,
key_concepts_algebra,Key Concepts (algebra mode),markdown/key_concepts_algebra.md,https://build123d.readthedocs.io/en/latest/key_concepts_algebra.html,26-27,0,
moving_objects,Moving Objects,markdown/moving_objects.md,https://build123d.readthedocs.io/en/latest/moving_objects.html,27-29,0,
OpenSCAD,Transitioning from OpenSCAD,markdown/OpenSCAD.md,https://build123d.readthedocs.io/en/latest/OpenSCAD.html,29-33,1,
introductory_examples,Introductory Examples,markdown/introductory_examples.md,https://build123d.readthedocs.io/en/latest/introductory_examples.html,33-59,0,
tutorials,Tutorials,markdown/tutorials.md,https://build123d.readthedocs.io/en/latest/tutorials.html,59,0,Parent page cropped before first tutorial section.
tutorial_design,Designing a Part in build123d,markdown/tutorial_design.md,https://build123d.readthedocs.io/en/latest/tutorial_design.html,59-67,5,
tutorial_selectors,Selector Tutorial,markdown/tutorial_selectors.md,https://build123d.readthedocs.io/en/latest/tutorial_selectors.html,67-70,0,
tutorial_constraints,Drawing with Constraints,markdown/tutorial_constraints.md,https://build123d.readthedocs.io/en/latest/tutorial_constraints.html,70-83,1,
tutorial_lego,Lego Tutorial,markdown/tutorial_lego.md,https://build123d.readthedocs.io/en/latest/tutorial_lego.html,83-90,0,
tutorial_joints,Joint Tutorial,markdown/tutorial_joints.md,https://build123d.readthedocs.io/en/latest/tutorial_joints.html,90-97,0,
examples_1,The build123d Examples,markdown/examples_1.md,https://build123d.readthedocs.io/en/latest/examples_1.html,97-181,33,
tttt,Too Tall Toby (TTT) Tutorials,markdown/tttt.md,https://build123d.readthedocs.io/en/latest/tttt.html,181-219,16,
tutorial_stl_reconstruction,Tutorial: Reconstructing a Design from an STL,markdown/tutorial_stl_reconstruction.md,https://build123d.readthedocs.io/en/latest/tutorial_stl_reconstruction.html,219-224,0,
tutorial_surface_modeling,Surface Modeling,markdown/tutorial_surface_modeling.md,https://build123d.readthedocs.io/en/latest/tutorial_surface_modeling.html,224-225,0,
tutorial_surface_heart_token,Tutorial: Heart Token (Basics),markdown/tutorial_surface_heart_token.md,https://build123d.readthedocs.io/en/latest/tutorial_surface_heart_token.html,225-230,4,
tutorial_spitfire_wing_gordon,Tutorial: Spitfire Wing with Gordon Surface,markdown/tutorial_spitfire_wing_gordon.md,https://build123d.readthedocs.io/en/latest/tutorial_spitfire_wing_gordon.html,230-234,1,
tech_drawing_tutorial,Technical Drawing Tutorial,markdown/tech_drawing_tutorial.md,https://build123d.readthedocs.io/en/latest/tech_drawing_tutorial.html,234-237,0,
objects,Objects,markdown/objects.md,https://build123d.readthedocs.io/en/latest/objects.html,237-274,8,
operations,Operations,markdown/operations.md,https://build123d.readthedocs.io/en/latest/operations.html,274-287,0,
topology_selection,Topology Selection and Exploration,markdown/topology_selection.md,https://build123d.readthedocs.io/en/latest/topology_selection.html,287-292,8,
topology_sort_examples,Sort Examples,markdown/topology_sort_examples.md,https://build123d.readthedocs.io/en/latest/topology_selection/sort_examples.html,292-300,12,
topology_group_examples,Group Examples,markdown/topology_group_examples.md,https://build123d.readthedocs.io/en/latest/topology_selection/group_examples.html,300-307,10,
topology_filter_examples,Filter Examples,markdown/topology_filter_examples.md,https://build123d.readthedocs.io/en/latest/topology_selection/filter_examples.html,307-317,15,
builders,Builders,markdown/builders.md,https://build123d.readthedocs.io/en/latest/builders.html,317,0,Parent page cropped before BuildLine section.
build_line,BuildLine,markdown/build_line.md,https://build123d.readthedocs.io/en/latest/build_line.html,317-321,0,
build_sketch,BuildSketch,markdown/build_sketch.md,https://build123d.readthedocs.io/en/latest/build_sketch.html,321-324,0,
build_part,BuildPart,markdown/build_part.md,https://build123d.readthedocs.io/en/latest/build_part.html,324-328,1,
joints,Joints,markdown/joints.md,https://build123d.readthedocs.io/en/latest/joints.html,328-341,5,
assemblies,Assemblies,markdown/assemblies.md,https://build123d.readthedocs.io/en/latest/assemblies.html,341-345,0,
tips,"Tips, Best Practices and FAQ",markdown/tips.md,https://build123d.readthedocs.io/en/latest/tips.html,345-351,2,
import_export,Import/Export,markdown/import_export.md,https://build123d.readthedocs.io/en/latest/import_export.html,351-364,0,
advanced,Advanced Topics,markdown/advanced.md,https://build123d.readthedocs.io/en/latest/advanced.html,364,0,Parent page cropped before first advanced subpage.
algebra_performance,Performance considerations in algebra mode,markdown/algebra_performance.md,https://build123d.readthedocs.io/en/latest/algebra_performance.html,364-365,0,
location_arithmetic,Location arithmetic for algebra mode,markdown/location_arithmetic.md,https://build123d.readthedocs.io/en/latest/location_arithmetic.html,365-370,7,
algebra_definition,Algebraic definition,markdown/algebra_definition.md,https://build123d.readthedocs.io/en/latest/algebra_definition.html,370-371,0,
center,CAD Object Centers,markdown/center.md,https://build123d.readthedocs.io/en/latest/center.html,371,0,
debugging_logging,Debugging & Logging,markdown/debugging_logging.md,https://build123d.readthedocs.io/en/latest/debugging_logging.html,371-373,1,
cheat_sheet,Cheat Sheet,markdown/cheat_sheet.md,https://build123d.readthedocs.io/en/latest/cheat_sheet.html,373-378,0,
external,External Tools and Libraries,markdown/external.md,https://build123d.readthedocs.io/en/latest/external.html,378-381,0,
builder_api_reference,Builder Common API Reference,markdown/builder_api_reference.md,https://build123d.readthedocs.io/en/latest/builder_api_reference.html,381-387,0,
direct_api_reference,Direct API Reference,markdown/direct_api_reference.md,https://build123d.readthedocs.io/en/latest/direct_api_reference.html,387-481,4,
indices_and_tables,Indices and tables,markdown/indices_and_tables.md,https://build123d.readthedocs.io/en/latest/index.html#indices-and-tables,481-483,0,Generated index/table page extracted from PDF.
python_module_index,Python Module Index,markdown/python_module_index.md,https://build123d.readthedocs.io/en/latest/py-modindex.html,483-485,0,Generated module index extracted from PDF.
general_index,Index,markdown/general_index.md,https://build123d.readthedocs.io/en/latest/genindex.html,485-493,0,Generated general index extracted from PDF.
